,sample,energy,num_occurrences,chain_break_fraction
10,"{8: 1, 9: 1, '8*9': 0, 6: 0, 7: 0, '6*7': 0, 10: 0, 11: 1, '10*11': 1, 4: 0, 5: 0, '4*5': 0, 0: 1, 12: 0, '0*12': 0, 1: 1, '1*12': 0, 2: 1, '2*12': 0, 3: 1, '3*12': 0, '8*9*10*11': 0, '9*7': 0, '8*10': 0, '9*11': 1, '8*9*6*7': 0, '8*6': 0, '11*7': 0, '6*7*10*11': 0, '10*6': 0, '10*4': 0, '4*6': 0, '0*4*5': 0, '2*4*5': 0, '0*5': 0, '1*5': 0, '2*5': 0, '1*4*5': 0, '8*4': 0}",-77.26650000000001,1,0.0
11,"{8: 1, 9: 1, '8*9': 0, 6: 0, 7: 1, '6*7': 0, 10: 0, 11: 1, '10*11': 1, 4: 0, 5: 0, '4*5': 0, 0: 1, 12: 0, '0*12': 0, 1: 1, '1*12': 0, 2: 1, '2*12': 0, 3: 1, '3*12': 0, '8*9*10*11': 0, '9*7': 1, '8*10': 0, '9*11': 1, '8*9*6*7': 0, '8*6': 0, '11*7': 1, '6*7*10*11': 0, '10*6': 0, '10*4': 0, '4*6': 0, '0*4*5': 0, '2*4*5': 0, '0*5': 0, '1*5': 0, '2*5': 0, '1*4*5': 0, '8*4': 0}",-77.1915,4,0.0
12,"{8: 1, 9: 1, '8*9': 0, 6: 0, 7: 1, '6*7': 0, 10: 1, 11: 0, '10*11': 1, 4: 1, 5: 1, '4*5': 1, 0: 1, 12: 0, '0*12': 0, 1: 1, '1*12': 0, 2: 1, '2*12': 0, 3: 1, '3*12': 0, '8*9*10*11': 0, '9*7': 1, '8*10': 1, '9*11': 0, '8*9*6*7': 0, '8*6': 0, '11*7': 0, '6*7*10*11': 0, '10*6': 0, '10*4': 1, '4*6': 0, '0*4*5': 1, '2*4*5': 1, '0*5': 1, '1*5': 1, '2*5': 1, '1*4*5': 1, '8*4': 1}",-77.19150000000002,1,0.0
13,"{8: 1, 9: 1, '8*9': 0, 6: 1, 7: 0, '6*7': 0, 10: 0, 11: 1, '10*11': 1, 4: 0, 5: 1, '4*5': 0, 0: 1, 12: 0, '0*12': 0, 1: 1, '1*12': 0, 2: 1, '2*12': 0, 3: 1, '3*12': 0, '8*9*10*11': 0, '9*7': 0, '8*10': 0, '9*11': 1, '8*9*6*7': 0, '8*6': 1, '11*7': 0, '6*7*10*11': 0, '10*6': 0, '10*4': 0, '4*6': 0, '0*4*5': 0, '2*4*5': 0, '0*5': 1, '1*5': 1, '2*5': 1, '1*4*5': 0, '8*4': 0}",-77.1915,2,0.0
14,"{8: 1, 9: 1, '8*9': 0, 6: 1, 7: 0, '6*7': 0, 10: 1, 11: 0, '10*11': 1, 4: 1, 5: 1, '4*5': 1, 0: 1, 12: 0, '0*12': 0, 1: 1, '1*12': 0, 2: 1, '2*12': 0, 3: 1, '3*12': 0, '8*9*10*11': 0, '9*7': 0, '8*10': 1, '9*11': 0, '8*9*6*7': 0, '8*6': 1, '11*7': 0, '6*7*10*11': 0, '10*6': 1, '10*4': 1, '4*6': 1, '0*4*5': 1, '2*4*5': 1, '0*5': 1, '1*5': 1, '2*5': 1, '1*4*5': 1, '8*4': 1}",-77.19150000000002,1,0.0
15,"{8: 1, 9: 1, '8*9': 0, 6: 1, 7: 0, '6*7': 0, 10: 1, 11: 0, '10*11': 1, 4: 1, 5: 0, '4*5': 0, 0: 1, 12: 0, '0*12': 0, 1: 1, '1*12': 0, 2: 1, '2*12': 0, 3: 1, '3*12': 0, '8*9*10*11': 0, '9*7': 0, '8*10': 1, '9*11': 0, '8*9*6*7': 0, '8*6': 1, '11*7': 0, '6*7*10*11': 0, '10*6': 1, '10*4': 1, '4*6': 1, '0*4*5': 0, '2*4*5': 0, '0*5': 0, '1*5': 0, '2*5': 0, '1*4*5': 0, '8*4': 1}",-77.19150000000002,1,0.0
16,"{8: 1, 9: 1, '8*9': 0, 6: 1, 7: 1, '6*7': 1, 10: 1, 11: 0, '10*11': 1, 4: 0, 5: 0, '4*5': 0, 0: 1, 12: 0, '0*12': 0, 1: 1, '1*12': 0, 2: 1, '2*12': 0, 3: 1, '3*12': 0, '8*9*10*11': 0, '9*7': 1, '8*10': 1, '9*11': 0, '8*9*6*7': 0, '8*6': 1, '11*7': 0, '6*7*10*11': 1, '10*6': 1, '10*4': 0, '4*6': 0, '0*4*5': 0, '2*4*5': 0, '0*5': 0, '1*5': 0, '2*5': 0, '1*4*5': 0, '8*4': 0}",-77.19150000000002,1,0.0
17,"{8: 1, 9: 1, '8*9': 0, 6: 0, 7: 1, '6*7': 0, 10: 0, 11: 1, '10*11': 1, 4: 1, 5: 1, '4*5': 1, 0: 1, 12: 0, '0*12': 0, 1: 1, '1*12': 0, 2: 1, '2*12': 0, 3: 1, '3*12': 0, '8*9*10*11': 0, '9*7': 1, '8*10': 0, '9*11': 1, '8*9*6*7': 0, '8*6': 0, '11*7': 1, '6*7*10*11': 0, '10*6': 0, '10*4': 0, '4*6': 0, '0*4*5': 1, '2*4*5': 1, '0*5': 1, '1*5': 1, '2*5': 1, '1*4*5': 1, '8*4': 1}",-77.1165,1,0.0
18,"{8: 1, 9: 1, '8*9': 0, 6: 1, 7: 0, '6*7': 0, 10: 0, 11: 1, '10*11': 1, 4: 1, 5: 0, '4*5': 0, 0: 1, 12: 1, '0*12': 1, 1: 1, '1*12': 1, 2: 1, '2*12': 1, 3: 1, '3*12': 1, '8*9*10*11': 0, '9*7': 0, '8*10': 0, '9*11': 1, '8*9*6*7': 0, '8*6': 1, '11*7': 0, '6*7*10*11': 0, '10*6': 0, '10*4': 0, '4*6': 1, '0*4*5': 0, '2*4*5': 0, '0*5': 0, '1*5': 0, '2*5': 0, '1*4*5': 0, '8*4': 1}",-77.11649999999999,1,0.0
19,"{8: 1, 9: 1, '8*9': 0, 6: 1, 7: 1, '6*7': 1, 10: 1, 11: 0, '10*11': 1, 4: 1, 5: 1, '4*5': 1, 0: 1, 12: 1, '0*12': 1, 1: 1, '1*12': 1, 2: 1, '2*12': 1, 3: 1, '3*12': 1, '8*9*10*11': 0, '9*7': 1, '8*10': 1, '9*11': 0, '8*9*6*7': 0, '8*6': 1, '11*7': 0, '6*7*10*11': 1, '10*6': 1, '10*4': 1, '4*6': 1, '0*4*5': 1, '2*4*5': 1, '0*5': 1, '1*5': 1, '2*5': 1, '1*4*5': 1, '8*4': 1}",-77.04150000000003,1,0.0
