,sample,energy,num_occurrences,chain_break_fraction
30,"{3: 0, 4: 1, '3*4': 0, 0: 1, 2: 1, '0*2': 1, 1: 1, '1*2': 1, '1*0*2': 1, 5: 1, '0*5': 1, '0*3': 0}",-17.871000000000006,106,0.0
31,"{3: 0, 4: 1, '3*4': 0, 0: 1, 2: 1, '0*2': 1, 1: 0, '1*2': 0, '1*0*2': 0, 5: 1, '0*5': 1, '0*3': 0}",-17.871000000000006,86,0.0
32,"{3: 1, 4: 1, '3*4': 1, 0: 1, 2: 1, '0*2': 0, 1: 1, '1*2': 1, '1*0*2': 0, 5: 0, '0*5': 0, '0*3': 1}",-16.121000000000006,34,0.0
33,"{3: 1, 4: 1, '3*4': 1, 0: 1, 2: 1, '0*2': 0, 1: 1, '1*2': 1, '1*0*2': 0, 5: 1, '0*5': 1, '0*3': 1}",-16.121000000000006,16,0.0
34,"{3: 0, 4: 1, '3*4': 0, 0: 1, 2: 1, '0*2': 0, 1: 1, '1*2': 1, '1*0*2': 0, 5: 0, '0*5': 0, '0*3': 0}",-14.146000000000004,26,0.0
35,"{3: 0, 4: 1, '3*4': 0, 0: 1, 2: 1, '0*2': 0, 1: 1, '1*2': 1, '1*0*2': 0, 5: 1, '0*5': 1, '0*3': 0}",-14.071000000000005,14,0.0
36,"{3: 0, 4: 1, '3*4': 0, 0: 0, 2: 1, '0*2': 0, 1: 1, '1*2': 1, '1*0*2': 0, 5: 0, '0*5': 0, '0*3': 0}",-12.325000000000003,20,0.0
37,"{3: 1, 4: 0, '3*4': 1, 0: 1, 2: 0, '0*2': 0, 1: 0, '1*2': 0, '1*0*2': 0, 5: 1, '0*5': 1, '0*3': 1}",-12.221000000000004,2,0.0
38,"{3: 1, 4: 0, '3*4': 1, 0: 1, 2: 1, '0*2': 1, 1: 0, '1*2': 0, '1*0*2': 0, 5: 1, '0*5': 1, '0*3': 1}",-12.221000000000004,2,0.0
39,"{3: 1, 4: 0, '3*4': 0, 0: 1, 2: 1, '0*2': 0, 1: 1, '1*2': 1, '1*0*2': 0, 5: 0, '0*5': 0, '0*3': 1}",-12.171000000000003,13,0.0
40,"{3: 0, 4: 0, '3*4': 0, 0: 1, 2: 1, '0*2': 0, 1: 1, '1*2': 1, '1*0*2': 0, 5: 0, '0*5': 0, '0*3': 0}",-12.171000000000006,3,0.0
41,"{3: 1, 4: 0, '3*4': 0, 0: 1, 2: 1, '0*2': 0, 1: 1, '1*2': 1, '1*0*2': 0, 5: 1, '0*5': 1, '0*3': 1}",-12.171000000000003,2,0.0
42,"{3: 0, 4: 0, '3*4': 0, 0: 1, 2: 1, '0*2': 0, 1: 1, '1*2': 1, '1*0*2': 0, 5: 1, '0*5': 1, '0*3': 0}",-12.171000000000006,3,0.0
43,"{3: 1, 4: 0, '3*4': 1, 0: 1, 2: 1, '0*2': 1, 1: 0, '1*2': 0, '1*0*2': 0, 5: 0, '0*5': 0, '0*3': 1}",-12.146000000000008,7,0.0
44,"{3: 1, 4: 0, '3*4': 1, 0: 1, 2: 0, '0*2': 0, 1: 0, '1*2': 0, '1*0*2': 0, 5: 0, '0*5': 0, '0*3': 1}",-12.146000000000004,1,0.0
45,"{3: 1, 4: 0, '3*4': 1, 0: 1, 2: 0, '0*2': 0, 1: 1, '1*2': 0, '1*0*2': 0, 5: 1, '0*5': 1, '0*3': 1}",-12.146000000000004,5,0.0
46,"{3: 0, 4: 1, '3*4': 1, 0: 1, 2: 0, '0*2': 0, 1: 1, '1*2': 0, '1*0*2': 0, 5: 0, '0*5': 0, '0*3': 0}",-12.071000000000007,6,0.0
47,"{3: 1, 4: 0, '3*4': 1, 0: 1, 2: 0, '0*2': 0, 1: 1, '1*2': 0, '1*0*2': 0, 5: 0, '0*5': 0, '0*3': 1}",-12.071000000000002,3,0.0
48,"{3: 0, 4: 1, '3*4': 1, 0: 1, 2: 0, '0*2': 0, 1: 0, '1*2': 0, '1*0*2': 0, 5: 0, '0*5': 0, '0*3': 0}",-12.071000000000005,7,0.0
49,"{3: 0, 4: 1, '3*4': 1, 0: 1, 2: 0, '0*2': 0, 1: 0, '1*2': 0, '1*0*2': 0, 5: 1, '0*5': 1, '0*3': 0}",-12.071000000000005,4,0.0
